BNC	TAG_ING	ING	VERB_LEMMA	ING_LEMMA
AM6	NN1-VVG	understanding	educate	understand
AM8	VVG	bringing	galvanise	bring
AMB	VVG	showing	tempt	show
AMC	VVG	using	tempt	use
AMC	VVG	believing	fool	believe
AMG	VVG	allowing	trick	allow
AML	VVG	eating	deceive	eat
AMN	VVG	adopting	influence	adopt
AMT	VVG	thinking	mislead	think
AMU	VVG	giving	force	give
AMU	NN1-VVG	facing	manipulate	face
AMY	VVG	buying	interest	buy
AN0	AJ0-VVG	terminating	pressure	terminate
AN4	VVG	marrying	trick	marry
ANH	VVG	believing	mislead	believe
ANH	VVG	obeying	mislead	obey
ANL	AJ0-VVG	endorsing	draw	endorse
ANR	VVG	accepting	galvanise	accept
ANR	VVG	negotiating	coerce	negotiate
ANT	VBG	being	force	be
ANU	VVG	leaving	trick	leave
ANX	VVG	swallowing	panick	swallow
ANY	NN1-VVG	making	pressure	make
AP7	VVG	signing	provoke	sign
APE	VVG	rendering	prod	render
APK	VVG	getting	pressurise	get
APN	VVG	using	force	use
APR	VVG	making	entice	make
APR	VVG	editing	talk	edit
APS	VVG	thinking	tantalise	think
APV	AJ0-VVG	placing	pressurise	manufacture
APW	VVG	accepting	talk	accept
APY	VVG	playing	push	play
ARA	VDG	doing	trick	do
ARA	NN1-VVG	parting	trick	part
ARG	VVG	reaching	fool	reach
ARG	VVG	contemplating	lead	contemplate
ARH	NN1-VVG	thinking	prod	think
ARR	VVG	turning	mislead	turn
ARR	VVG	incubating	dupe	incubate
ARR	VVG	thinking	fool	think
ART	VVG	sending	force	send
ART	NN1-VVG	writing	trigger	write
ART	AJ0-VVG	buying	lure	buy
ARW	VVG	helping	coerce	help
ARW	VVG	approving	bludgeon	approve
AS0	VVG	extending	guide	extend
AS0	NN1-VVG	feeling	force	feel
AS3	VVG	thinking	fool	think
ASA	VVG	making	cajole	make
ASA	VVG	losing	pressurise	lose
ASB	VVG	revealing	torture	reveal
ASB	VVG	selling	trap	sell
ASC	VBG	being	cajole	be
ASD	VVG	making	badger	make
ASG	VVG	becoming	promote	become
ASR	VVG	exorcizing	talk	exorcize
ASS	VVG	making	tempt	make
ASS	VVG	thinking	fool	think
ASV	VVG	using	confuse	use
ASV	VVG	taking	pressure	take
ASV	VVG	writing	blackmail	write
AT4	VVG	swimming	terrorise	swim
AT7	AJ0-VVG	spending	blackmail	spend
ATA	VVG	talking	push	talk
ATA	VVG	misrecognising	habitualise	misrecognise
B01	NN1-VVG	retiring	coerce	retire
B02	NN1-VVG	farming	encourage	farm
B08	VVG	throwing	deceive	throw
B0B	VVG	digging	startle	dig
B0K	VVG	charging	tease	charge
B0L	VVG	spending	draw	spend
B0P	VVG	using	brainwash	use
B0P	NN1-VVG	finding	educate	find
B0U	VVG	giving	trap	give
B10	VVG	giving	coerce	give
B12	VVG	accepting	socialise	accept
B17	NN1-VVG	viewing	socialise	view
B1J	VDG	doing	trick	do
B1J	AJ0-VVG	treating	kid	treat
B1L	VVG	raising	bully	raise
B1R	VVG	underestimating	fool	underestimate
B1X	VVG	guiding	bully	guide
B1X	VVG	running	panick	run
B1X	VVG	marrying	force	marry
B21	VVG	becoming	trick	become
B28	VVG	choosing	force	choose
B2F	VVG	playing	tempt	play
B2F	VDG	doing	cajole	do
B2F	VDG	doing	trick	do
B2F	VVG	thinking	delude	think
B2F	VVG	learning	shock	learn
B2F	VDG	doing	provoke	do
B2F	VVG	giving	shock	give
B2F	VDG	doing	tempt	do
B2H	VVG	conceding	pressurise	concede
B2T	VBG	being	stimulate	be
B30	VVG	attempting	sidetrack	attempt
B33	VVG	perceiving	fool	perceive
B34	VVG	leaving	coax	leave
B34	VVG	staying	press	stay
B34	VVG	thinking	fool	think
B34	NN1-VVG	thinking	tillerise	think
B38	NN1-VVG	helping	jolly	help
B3G	VVG	playing	dragoon	play
B3G	VBG	being	force	be
B72	VVG	investing	push	invest
B75	VVG	running	coax	run
B76	VVG	working	charm	work
B7B	NN1-VVG	setting	coax	set
B7C	VVG	believing	bamboozle	believe
B7C	VVG	thinking	fool	think
B7C	VVG	believing	torture	believe
B7D	NN1-VVG	continuing	batter	continue
B7G	VVG	pushing	provoke	push
B7G	VVG	holding	push	hold
B7G	VVG	grinding	persuade	grind
B7G	VVG	expecting	lead	expect
B7G	VVG	assuming	mislead	assume
B7G	VVG	reaching	mislead	reach
B7G	VVG	accepting	lull	accept
B7J	VVG	bringing	scare	bring
B7J	VVG	thinking	mislead	think
B7J	VVG	accepting	con	accept
B7J	NN1-VVG	dancing	trick	dance
B7K	VVG	thinking	beguile	think
B7M	VVG	resigning	force	resign
B7M	VVG	pushing	force	push
BLW	VVG	becoming	catapult	become
BLX	VVG	dropping	panick	drop
BM4	VVG	playing	force	play
BM5	AJ0-VVG	thinking	fool	think
BM9	VVG	changing	shame	change
BMB	VVG	voting	jolly	vote
BMB	VVG	working	guide	work
BMC	VVG	dismissing	blind	dismiss
BMD	VVG	flowering	coax	flower
BMD	VVG	rediscovering	spur	rediscover
BMD	VVG	thinking	mislead	think
BMD	VVG	flowering	nurture	flower
BMF	VVG	believing	confuse	believe
BMG	VVG	reacting	fool	react
BMK	VVG	framing	press	frame
BMM	VVG	giving	scare	give
BMR	VVG	taking	browbeat	take
BMS	VVG	letting	charm	let
BMW	VVG	bartering	manoeuvre	barter
BMY	VVG	utilizing	coax	utilize
BMY	VVG	regurgitating	trigger	regurgitate
BMY	VVG	interpreting	force	interpret
BN2	VVG	refusing	provoke	refuse
BN2	VVG	putting	provoke	put
BN2	AJ0-VVG	developing	force	develop
BNA	VVG	filling	pressure	fill
BNA	VVG	thinking	fool	think
BNA	VVG	giving	sway	give
BNA	NN1-VVG	feeling	trick	feel
BNB	VVG	supporting	talk	support
BNB	VVG	making	terrify	make
BNF	VVG	making	spur	make
BNF	VVG	adopting	force	adopt
BNF	VVG	making	shock	make
BNK	NN1-VVG	advertising	encourage	advertise
BNL	VDG	doing	coerce	do
BNL	VVG	taking	panick	take
BNP	VVG	thinking	deceive	think
BNS	VVG	working	dupe	work
BNS	VVG	calling	provoke	call
BNT	VVG	waving	coerce	wave
BP5	VVG	thinking	mislead	think
BPK	VVG	making	force	make
C85	VVG	saying	trick	say
C85	VVG	knowing	shock	know
C85	VVG	running	persuade	run
C87	VVG	accepting	talk	accept
C8B	VVG	becoming	shame	become
C8B	VVG	becoming	scare	become
C8E	VVG	becoming	batter	become
C8E	VVG	becoming	force	become
C8F	VVG	taking	guide	take
C8N	VVG	believing	con	believe
C8S	VVG	working	woo	work
C8V	VVG	behaving	beguile	behave
C8V	VVG	answering	sidetrack	answer
C8V	NN1-VVG	believing	hoodwink	believe
C8Y	VVG	selling	con	sell
C90	VVG	believing	mesmerise	believe
C90	AJ0-VVG	requesting	cajole	request
C92	VVG	believing	fool	believe
C95	VVG	thinking	fool	think
C95	VVG	stinging	stimulate	sting
C97	VVG	nibbling	embarrass	nibble
C98	VVG	agreeing	cajole	agree
C9A	VVG	conducting	goad	conduct
C9H	VVG	believing	hoodwink	believe
C9J	VVG	playing	talk	play
C9K	VVG	learning	force	learn
C9L	VVG	listening	lead	listen
C9M	VVG	letting	talk	let
C9M	VVG	buying	fool	buy
C9N	VVG	playing	get	play
C9N	VVG	producing	cajole	produce
C9U	VVG	accepting	cajole	accept
C9X	VVG	playing	pressurise	play
CA0	VVG	crossing	tease	cross
CA5	VVG	seeing	brainwash	see
CA5	NN1-VVG	feeling	coax	feel
CA5	NN1-VVG	feeling	provoke	feel
CA9	VVG	going	talk	go
CA9	VVG	dressing	shove	dress
CA9	NN1-VVG	continuing	will	continue
CAC	VVG	revealing	trick	reveal
CAC	VVG	marrying	blackmail	marry
CAC	NN1-VVG	appearing	goad	appear
CAC	NN1-VVG	drinking	trick	drink
CAD	VVG	giving	harass	give
CAE	VHG	having	goad	have
CAG	VVG	accepting	bounce	accept
CAG	VVG	balloting	shame	ballot
CAG	VVG	playing	galvanise	play
CAG	VVG	thinking	mislead	think
CAG	VVG	making	provoke	make
CAL	VVG	attempting	provoke	attempt
CAM	VVG	putting	provoke	put
CAW	VVG	using	force	use
CB0	VVG	making	cajole	make
CB1	VVG	doubting	cow	doubt
CB3	VVG	making	harry	make
CB4	VVG	believing	bluff	believe
CB4	VVG	rebalancing	stimulate	rebalance
CB5	VVG	changing	bully	change
CB5	NN1-VVG	eating	tempt	eat
CB6	VVG	giving	trick	give
CB8	VVG	making	galvanise	make
CBC	VVG	paying	fool	pay
CBC	VVG	acquiring	ease	acquire
CBC	VVG	confessing	force	confess
CBC	VDG	doing	shame	do
CBC	VVG	thinking	fool	think
CBC	VVG	acquiring	tease	acquire
CBE	VVG	making	manipulate	make
CBE	VVG	withdrawing	pressure	withdraw
CBF	VVG	baring	trick	bare
CBF	VVG	handing	terrify	hand
CBF	VVG	making	force	make
CBF	NN1-VVG	meeting	trick	meet
CBG	VVG	switching	force	switch
CBG	VVG	supporting	woo	support
CBG	VVG	running	pressure	run
CBG	VVG	making	panick	make
CBG	VVG	playing	soft-talk	play
CBG	VVG	fighting	shame	fight
CBG	VVG	fighting	embarrass	fight
CBG	VVG	playing	press-gang	play
CBG	VVG	playing	press-gang	play
CBG	AJ0-VVG	managing	tempt	manage
CBN	VDG	doing	coerce	do
CBN	VDG	doing	influence	do
CBN	NN1-VVG	painting	launch	paint
CBN	NN1-VVG	painting	launch	paint
CBN	AJ0-VVG	abandoning	talk	abandon
CBR	NN1-VVG	co-operating	induce	co-operate
CBS	AJ0-VVG	believing	brainwash	believe
CBU	VVG	throwing	frighten	throw
CBV	VVG	lending	suck	lend
CBV	VVG	making	manipulate	make
CBW	VVG	entering	force	enter
CBW	VVG	making	force	make
CBX	VVG	adopting	pressurise	adopt
CBY	VVG	dealing	lead	deal
CC2	VVG	thinking	deceive	think
CCB	VVG	buying	beguile	buy
CCC	VVG	sharing	intimidate	share
CCC	VVG	throwing	panick	throw
CCC	AJ0-VVG	becoming	blackmail	become
CCD	VVG	revealing	goad	reveal
CCD	VVG	letting	charm	let
CCN	VVG	working	provoke	work
CCT	VVG	using	propel	use
CCT	VVG	using	bind	use
CCW	VVG	staying	talk	stay
CCW	VVG	taking	persuade	take
CD5	VVG	making	spur	make
CD5	VVG	trying	trick	try
CD6	VVG	attempting	propel	attempt
CDC	VVG	thinking	deceive	think
CDE	VVG	letting	badger	let
CDG	VVG	accepting	entice	accept
CDG	AJ0-VVG	filming	throw	film
CDH	VVG	thinking	fool	think
CDJ	VVG	thinking	fool	think
CDS	VVG	believing	delude	believe
CDS	VVG	believing	con	believe
CDS	VVG	bolstering	coerce	bolster
CDT	VVG	listening	stun	listen
CDV	VVG	adopting	discipline	adopt
CDV	AJ0-VVG	thinking	mislead	think
CDW	AJ0-VVG	passing	lead	pass
CDW	AJ0-VVG	creating	lead	create
CDX	VVG	buying	push	buy
CDY	VVG	going	argue	go
CDY	VVG	writing	beat	write
CDY	AJ0-VVG	telling	frighten	tell
CE1	VVG	exploring	coax	explore
CE1	VVG	believing	beguile	believe
CE4	VVG	creating	inspire	create
CE4	VVG	keeping	tempt	keep
CE7	VVG	taking	draw	take
CE7	VVG	reconsidering	shock	reconsider
CE7	VVG	sharing	draw	share
CE9	VVG	imagining	con	imagine
CEB	VVG	thinking	mislead	think
CEE	VVG	thinking	deceive	think
CEJ	VVG	saying	trap	say
CEJ	VVG	carrying	force	carry
CEK	VDG	doing	force	do
CEK	VVG	stealing	blackmail	steal
CEK	VVG	thinking	fool	think
CEM	VVG	picking	trick	pick
CEN	VVG	taking	dupe	take
CEN	VVG	thinking	fool	think
CEN	VVG	believing	fool	believe
CEN	VVG	signing	push	sign
CEN	VVG	thinking	fool	think
CEN	VVG	believing	fool	believe
CEN	AJ0-VVG	stealing	force	steal
CEP	VVG	believing	lull	believe
CEY	AJ0-VVG	thinking	betray	think
CF4	VVG	formulating	force	formulate
CFB	VVG	assaulting	goad	assault
CFB	VVG	making	force	make
CFB	VVG	believing	kid	believe
CFC	AJ0-VVG	paying	bully	pay
CG1	VVG	believing	dupe	believe
CG3	VVG	longing	fire	long
CG3	VVG	thinking	mislead	think
CG3	VVG	believing	trick	believe
CGB	VVG	thinking	delude	think
CGB	AJ0-VVG	seeing	brainwash	see
CGB	NN1-VVG	leaving	talk	leave
CGE	VVG	thinking	hoodwink	think
CGF	VVG	using	coerce	use
CGS	VVG	acting	coerce	act
CGS	AJ0-VVG	accepting	force	accept
CH1	VVG	appearing	trick	appear
CH1	VBG	being	shame	be
CH1	NN1-VVG	reacting	sting	react
CH2	VVG	getting	pressure	get
CH2	VVG	working	force	work
CH2	VVG	mutilating	terrorise	mutilate
CH2	NN1-VVG	backing	trick	back
CH3	VVG	believing	dupe	believe
CH3	VVG	thinking	fool	think
CH3	VVG	making	force	make
CH4	NN1-VVG	saying	sting	say
CH5	VVG	paying	shame	pay
CH5	VVG	buying	soft-soap	buy
CH6	VVG	believing	fool	believe
CH6	VVG	allowing	pressurise	allow
CH7	VVG	producing	kid	produce
CH7	VVG	edging	induce	edge
CHA	VVG	making	corner	make
CHB	VVG	accepting	charm	accept
CHE	VDG	doing	pressure	do
CHL	VVG	believing	deceive	believe
CHL	VVG	closing	shame	close
CHL	VVG	remembering	nudge	remember
CHT	VVG	agreeing	plead	agree
CHT	VVG	agreeing	cajole	agree
CHU	VVG	raising	throw	raise
CHV	VVG	buying	shove	buy
CJ1	VDG	doing	coerce	do
CJ1	VHG	having	trick	have
CJ1	VVG	learning	constrain	learn
CJ2	VVG	proclaiming	manoeuvre	proclaim
CJ3	VVG	thinking	fool	think
CJ3	VVG	thinking	fool	think
CJ3	VVG	thinking	fool	think
CJ9	VHG	having	pressurise	have
CJ9	VHG	having	force	have
CJ9	VVG	taking	rush	take
CJ9	VHG	having	pressurise	have
CJE	CJS	supposing	mislead	suppose
CJJ	VVG	attacking	goad	attack
CJX	VVG	believing	browbeat	believe
CK0	VVG	requesting	sweet-talk	request
CK1	VVG	thinking	mislead	think
CK1	VVG	thinking	mislead	think
CK4	VVG	spending	arm-wrestle	spend
CK4	VVG	sounding	arm-wrestle	sound
CK4	VVG	believing	seduce	believe
CK5	VVG	listening	pester	listen
CK5	VVG	buying	entice	buy
CK5	VVG	letting	annoy	let
CK6	VVG	thinking	confuse	think
CK6	NN1-VVG	calling	harry	call
CK8	VVG	speaking	provoke	speak
CK8	VVG	talking	trick	talk
CK9	VVG	making	draw	make
CKB	VVG	going	persuade	go
CKC	VVG	making	trap	make
CKD	VVG	offering	talk	offer
CKD	VVG	losing	dupe	lose
CKE	AJ0-VVG	losing	startle	lose
CKF	NN1-VVG	turning	startle	turn
CKH	VVG	rescuing	divert	rescue
CKN	VVG	missing	lead	miss
CKN	NN1-VVG	hiding	force	hide
CKN	NN1-VVG	hiding	force	hide
CKP	VVG	believing	mislead	believe
CKS	VVG	believing	socialise	believe
CKS	VVG	learning	scare	learn
CKS	VVG	giving	con	give
CKS	VVG	changing	whip	change
CKS	VVG	changing	cajole	change
CKS	VVG	learning	shame	learn
CL1	VVG	getting	force	get
CLE	AJ0-VVG	joining	propel	join
CLF	VVG	agreeing	propel	agree
CLJ	VVG	raising	scare	raise
CLK	VVG	attending	dupe	attend
CLK	VVG	believing	trick	believe
CLK	VVG	freeing	lure	free
CLK	NN1-VVG	entering	lure	enter
CLM	VVG	publishing	pressure	publish
CLM	VVG	taking	chivvy	take
CLM	VVG	judging	browbeat	judge
CLM	VVG	granting	bludgeon	grant
CLM	VVG	offering	force	offer
CLN	NN1-VVG	ending	shame	end
CLP	VVG	developing	guide	develop
CLP	VVG	trying	steer	try
CLP	AJ0-VVG	following	guide	follow
CLS	VVG	believing	seduce	believe
CLT	VVG	attending	bully	attend
CM0	VVG	entering	push	enter
CM0	NN1-VVG	joining	flatter	join
CM2	VVG	taking	manipulate	take
CM5	VVG	asking	lead	ask
CM6	VVG	keeping	coerce	keep
CM6	VVG	rejecting	bully	reject
CM6	NN1-VVG	abdicating	bully	abdicate
CM7	VVG	stoning	inflame	stone
CM8	VVG	thinking	mislead	think
CM8	VVG	thinking	overawe	think
CM9	AJ0-VVG	seeing	deceive	see
CMA	VVG	making	tempt	make
CMC	VVG	committing	draw	commit
CMC	VVG	fleeing	panick	flee
CMC	NN1-VVG	fighting	goad	fight
CMF	VVG	modifying	prompt	modify
CMF	VVG	saying	prompt	say
CMH	VVG	developing	stimulate	develop
CMJ	VVG	thinking	lead	think
CMJ	AJ0-VVG	seeing	draw	see
CML	NN1-VVG	driving	harangue	drive
CMM	VVG	getting	drive	get
CMN	VVG	thinking	force	think
CMN	VVG	thinking	delude	think
CMR	VVG	making	galvanise	make
CN1	NN1-VVG	fighting	goad	fight
CN2	VVG	allowing	talk	allow
CN3	NN1-VVG	signing	charm	sign
CN9	VVG	thinking	delude	think
CNC	VVG	keeping	lure	keep
CP6	VVG	thinking	fool	think
CR8	VVG	voting	intimidate	vote
CR9	VDG	doing	shame	do
CRA	VVG	giving	arm-twist	give
CRB	VVG	making	arm-twist	make
CRC	VVG	believing	delude	believe
CRE	VDG	doing	provoke	do
CRJ	VVG	chasing	torment	chase
CRP	VVG	producing	aggravate	produce
CRV	VVG	thinking	dupe	think
CRV	VVG	thinking	deceive	think
CRV	VVG	loving	drug	love
CRV	VVG	naming	shame	name
CRV	VVG	killing	dupe	kill
CRV	VVG	setting	manipulate	set
CRV	VVG	giving	corrupt	give
CRV	AJ0-VVG	loving	gull	love
CRV	NN1-VVG	fleeing	dupe	flee
CRW	VVG	believing	mislead	believe
CRX	NN1-VVG	cheating	force	cheat
CS0	VVG	mounting	stimulate	mount
CS0	NN1-VVG	building	mobilise	build
CS2	VVG	accepting	drill	accept
CS2	NN1-VVG	accepting	drill	accept
CS3	VVG	conjecturing	force	conjecture
CS3	VVG	fighting	mobilise	fight
CS3	VVG	believing	manipulate	believe
CS5	VHG	having	push	have
CS5	VVG	searching	push	search
CS5	VVG	keeping	draw	keep
CS5	VVG	dismissing	push	dismiss
CS7	VVG	promoting	manoeuvre	promote
CS7	VVG	kissing	tease	kiss
CSK	VVG	accepting	force	accept
CT8	VVG	trying	seduce	try
CTC	AJ0-VVG	cutting	drive	cut
CTP	VVG	resigning	push	resign
CTX	VVG	thinking	fool	think
CU0	VVG	signalling	deceive	signal
CU1	VVG	granting	coerce	grant
E9P	VVG	issuing	goad	issue
E9P	VVG	leaving	blackmail	leave
E9R	VVG	thinking	mislead	think
E9T	VVG	believing	fool	believe
E9T	NN1-VVG	parting	trick	part
E9V	VVG	accepting	coerce	accept
E9V	AJ0-VVG	surrendering	pressure	surrender
EA3	VVG	respecting	socialise	respect
EA4	VVG	lending	pressure	lend
EA8	VVG	thinking	fool	think
EAK	VVG	thinking	trick	think
EAK	AJ0-VVG	juggling	push	juggle
EAX	VVG	expanding	draw	expand
EAY	VVG	believing	frighten	believe
EB1	VVG	talking	guide	talk
EB2	VVG	believing	mislead	believe
EBS	VVG	thinking	deceive	think
EBV	VVG	helping	cajole	help
EC2	AJ0-VVG	thinking	mislead	think
EC8	AJ0-VVG	accepting	trick	accept
ECK	VVG	giving	press	give
ECN	VVG	believing	con	believe
ECP	VVG	thinking	fool	think
ECT	VVG	remembering	startle	remember
ECV	VVG	giving	coerce	give
ECV	VVG	accepting	coerce	accept
ECV	VDG	doing	coerce	do
ECV	VVG	behaving	coerce	behave
ECV	VDG	doing	coerce	do
ECV	UNC	thinking/acting	coerce	think
ECV	UNC	thinking/acting	coerce	act
ECX	VVG	thinking	lull	think
ECY	VVG	working	coerce	work
ECY	VVG	working	cajole	work
ED3	NN1-VVG	retailing	lead	retail
ED7	VVG	believing	fool	believe
ED7	AJ0-VVG	seeing	lead	see
ED7	AJ0-VVG	driving	con	drive
ED9	VVG	opening	cajole	open
